id,top,link,rating_count,price,skin_type,category,brand,bought_info
B00SNPCSUY,#27,https://www.amazon.com/CeraVe-Skin-Renewing-Night-Cream/dp/B00SNPCSUY/ref=zg_bs_g_11060451_d_sccl_27/134-7398474-9093341?psc=1,"49,844",$16.47,Face,Night Creams,CeraVe,70K+ bought in past month
B01N34XW93,#28,https://www.amazon.com/Roche-Posay-Toleriane-Purifying-Sensitive-Niacinamide/dp/B01N34XW93/ref=zg_bs_g_11060451_d_sccl_28/134-7398474-9093341?psc=1,"39,230",$17.99,Face,Washes,La Roche-Posay,N/A
B08BW46XXK,#29,https://www.amazon.com/Vanicream-Moisturizer-Hyaluronic-pH-Balanced-Dermatologist/dp/B08BW46XXK/ref=zg_bs_g_11060451_d_sccl_29/134-7398474-9093341?psc=1,"18,287",$12.97,Face,Face Moisturizers,Vanicream,80K+ bought in past month
B01MDTVZTZ,#30,https://www.amazon.com/Ordinary-Niacinamide-10-Zinc-30ml/dp/B01MDTVZTZ/ref=zg_bs_g_11060451_d_sccl_30/134-7398474-9093341?psc=1,"30,690",$6.00,Face,Serums,N/A,N/A
B0BX2TZZWG,#31,https://www.amazon.com/Tree-Hut-Variety-Strawberry-Champaine/dp/B0BX2TZZWG/ref=zg_bs_g_11060451_d_sccl_31/134-7398474-9093341?psc=1,"143,295",$7.97,Body,Body Scrubs,Tree Hut,20K+ bought in past month
B00F97FHAW,#32,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=zg_bs_g_11060451_d_sccl_32/134-7398474-9093341?psc=1,"89,946",$14.97,Face,Face Moisturizers,CeraVe,70K+ bought in past month
B07L1PHSY9,#33,https://www.amazon.com/Differin-Adapalene-0-1-Acne-Treatment/dp/B07L1PHSY9/ref=zg_bs_g_11060451_d_sccl_33/134-7398474-9093341?psc=1,"82,734",$14.97,Face,Treatments & Masks,Differin,N/A
B00027DMSI,#34,https://www.amazon.com/Frownies-Forehead-Between-Eyes-Patches/dp/B00027DMSI/ref=zg_bs_g_11060451_d_sccl_34/134-7398474-9093341?psc=1,"37,390",$24.95,Eyes,Wrinkle Pads & Patches,Frownies,70K+ bought in past month
B07YLKXV11,#35,https://www.amazon.com/CeraVe-Sunscreen-Hydrating-Mineral-Titanium/dp/B07YLKXV11/ref=zg_bs_g_11060451_d_sccl_35/134-7398474-9093341?psc=1,"62,212",$13.97,Sunscreens & Tanning Products,Facial Sunscreens,N/A,40K+ bought in past month
B079FV6PRH,#36,https://www.amazon.com/Softsoap-Liquid-Hand-Fresh-Breeze/dp/B079FV6PRH/ref=zg_bs_g_11060451_d_sccl_36/134-7398474-9093341?psc=1,"99,451",$8.34,Body,Hand Wash,Softsoap,30K+ bought in past month
